27515,224342,si3
26356,224311,geng1/geng4
27604,223847,bi3/bi4
21463,223405,shou4
30334,222693,bai3
20570,222207,zuo4
23572,221448,er3
21363,219756,ji2
20803,219138,yuan2
25253,218668,bao4
30452,217947,zhi2
30333,217439,bai2
24635,217392,zong3
38750,214873,fei1
24314,214355,jian4
22827,214198,fu1
21271,213780,bei3
26410,212384,wei4
24352,212169,zhang1
20196,212038,ling4
21453,211868,fan3
22763,210778,shi4
24072,210062,shi1
35768,209335,xu3
26465,208509,tiao2
21464,208335,bian4
31995,206564,xi4
35745,206493,ji4
19988,206487,qie3
35748,205316,ren4
30446,204611,mu4
20809,203558,guang1
31649,203142,guan3
36335,202678,lu4
25509,202523,jie1
22478,202054,cheng2
27963,201464,huo2
20445,200525,bao3
32467,200169,jie1/jie2
39064,199953,ti2
21364,198653,que4
25351,193925,zhi3
24863,193691,gan3
38590,192766,nan2/nan4
37327,192572,liang2/liang4
21153,192395,wu4
27835,192218,zhi4
21462,189740,qu3
22330,189200,chang3
24605,188730,si1
30005,188078,dian4
31354,187864,kong1/kong4
36793,187718,bian1
32479,187270,tong3
20214,186928,jian4
26399,186675,qi1
20811,185512,ke4
24093,185402,di4
20146,184741,qin1/qing4
22797,184103,fu4
20303,183990,zhu4
35831,183411,qing3
24066,182781,shi4
20845,182450,liu4
25918,181974,fang4
39118,180844,feng1
36164,180714,zi1
27714,180685,qiu2
21490,180461,shi3
33394,178066,se4/shai3
24418,177842,xing2
26395,177387,wang4
20256,176625,chuan2/zhuan4
20843,176594,ba1
24220,175390,fu3
30524,175349,yan3
39046,175241,ling3
28165,175235,qing1
20915,174391,jue2
31505,173440,xiao4
21578,173343,gao4
21483,170831,jiao4
38431,170486,dui4
24378,169857,qiang2
24448,169310,wang3/wang4
21306,168843,ou1/qu1
20132,168593,jiao1
27494,168547,wu3
36798,168497,da2
31038,168283,she4
26435,166785,quan2
31185,165989,ke1
20061,165868,jiu3
35774,165610,she4
26446,164342,li3
35266,164070,guan1/guan4
35760,163761,ji4
25913,162950,gai3
23637,162560,zhan3
23383,162385,zi4
25925,162249,gu4
21697,161665,pin3
35758,161057,yi4
35937,160760,xiang4
33457,160137,hua1
19971,159351,qi1
23436,159273,wan2
26519,158915,lin2
22522,158901,ji1
26381,158808,fu2
24102,158751,dai4
25454,158364,ju1/ju4
30028,158275,jie4
20113,157253,yun2
35273,156903,jiao4/jue2
20687,155766,xiang4
38498,155534,yuan4
39134,153140,fei1
36828,152267,yuan3
25910,152207,shou1
30707,151297,dan4/shi2
20247,150676,zhong4
36710,150235,che1/ju1
20505,149484,hou4
31867,149419,lei4
31243,149163,cheng2
36716,149126,zhuan3/zhuan4
20849,149119,gong4
21315,149072,qian1
24335,148885,shi4
22833,148762,shi1
27969,148597,liu2
27599,148088,mei3
35813,147670,gai1
26397,147649,chao2/zhao1
22987,147204,shi3
36830,146272,lian2
26415,145952,shu4/zhu2
36817,145903,jin4
26684,145517,ge2
27982,145485,ji4
24178,145235,gan1/gan4
36816,145084,yun4
24590,144959,zen3
27493,144832,bu4
21488,144516,tai2
35753,143708,rang4
27743,142927,jiang1
27827,142025,he2
35782,141519,shi2/zhi4
35268,141400,gui1
25289,140739,la1
20999,140280,qie1/qie4
26497,140246,ji2
25345,140065,chi2
33509,140033,ruo4
33521,139314,ying1
20105,138224,zheng1
21151,137856,gong1
28145,137677,shen1
22791,137470,bei4
36896,137184,zao4
38451,136418,yang2
24555,136149,kuai4
38598,135005,ji2
